TimeStamp;Hue;Brightness
1278715543186342;306;100
1278715576538649;306;100
1278715609835880;305;100
1278715643163111;306;100
1278715676489649;304;100
1278715709817880;304;100
1278715743139534;304;100
1278715776461495;303;100
1278715809789034;304;100
1278715843107149;304;100
1278715876429226;304;100
1278715909856418;305;100
1278715943082226;305;100
1278715976462034;305;100
1278716009729341;304;100
1278716043053726;305;100
1278716076553418;304;100
1278716109704303;304;100
1278716143039957;304;100
1278716176355880;304;100
1278716209676456;304;100
1278716243001880;303;100
1278716276324918;303;100
1278716309650226;303;100
1278716342978995;0;0
1278716376329610;0;0
1278716409629226;0;0
1278716442950918;309;100
1278716476300956;308;100
1278716509604572;308;100
1278716542926033;308;100
1278716576246802;309;100
1278716609565725;306;100
1278716642894648;306;100
1278716676219072;307;100
1278716709545033;307;100
1278716742866802;304;100
1278716776191341;307;100
1278716809559533;306;100
1278716842839379;307;100
1278716876170994;307;100
1278716909490110;306;100
1278716942838687;307;100
1278716976133264;305;100
1278717009476879;308;100
1278717042785110;306;100
1278717076106264;307;100
1278717109436917;306;100
1278717142758264;309;100
1278717176082571;307;100
1278717209406994;307;100
1278717242732610;307;100
1278717276053763;306;100
1278717309382840;307;100
1278717342715994;307;100
1278717376030763;306;100
1278717409350533;307;100
1278717442670879;0;0
1278717475995840;0;0
1278717509324802;0;0
1278717542649417;308;100
1278717575971494;308;100
1278717609324071;307;100
1278717642642225;307;100
1278717675944840;306;100
1278717709269109;305;100
1278717742592378;305;100
1278717775928302;305;100
1278717809245840;307;100
1278717842565648;305;100
1278717875891725;308;100
1278717909227071;307;100
1278717942541494;305;100
1278717975866763;308;100
1278718009187071;307;100
1278718042510147;306;100
1278718075832417;306;100
1278718109158147;309;100
1278718142480494;308;100
1278718175822263;307;100
1278718209132801;307;100
1278718242463186;308;100
1278718275824917;307;100
1278718309118878;308;100
1278718342436955;307;100
1278718375750147;307;100
1278718409075609;307;100
1278718442421840;306;100
1278718475726224;306;100
1278718509068878;307;100
1278718542376186;291;100
1278718575705262;0;0
1278718609019916;0;0
1278718642348186;310;100
1278718675674532;306;100
1278718709004032;306;100
1278718742320493;307;100
1278718775645878;306;100
1278718808974416;308;100
1278718842295070;305;100
1278718875624108;306;100
1278718908945378;307;100
1278718942266147;307;100
1278718975596839;307;100
1278719008916301;308;100
1278719042236685;306;100
1278719075603954;307;100
1278719108906262;307;100
1278719142246647;307;100
1278719175569724;307;100
1278719208860724;308;100
1278719242193954;307;100
1278719275602685;307;100
1278719308848531;307;100
1278719342160262;307;100
1278719375482031;308;100
1278719408810377;307;100
1278719442130454;310;100
1278719475454993;310;100
1278719508780493;307;100
1278719542100954;307;100
1278719575435493;306;100
1278719608751493;306;100
1278719642081492;298;100
1278719675398492;0;0
1278719708721031;0;0
1278719742046069;311;100
1278719775379646;311;100
1278719808697531;312;100
1278719842022377;310;100
1278719875356069;312;100
1278719908683915;311;100
1278719942003069;309;100
1278719975325108;308;100
1278720008647954;308;100
1278720041971569;308;100
1278720075294146;308;100
1278720108664992;309;100
1278720141941761;309;100
1278720175269531;309;100
1278720208591454;308;100
1278720241918569;310;100
1278720275238800;309;100
1278720308567954;309;100
1278720341891030;310;100
1278720375219107;312;100
1278720408531877;309;100
1278720441858800;310;100
1278720475185492;310;100
1278720508512300;308;100
1278720541832761;308;100
1278720575157300;309;100
1278720608476184;310;100
1278720641802569;309;100
1278720675127030;312;100
1278720708452646;311;100
1278720741787953;298;100
1278720775103415;0;0
1278720808426338;0;0
1278720841757261;312;100
1278720875081569;310;100
1278720908402569;311;100
1278720941723338;309;100
1278720975052145;308;100
1278721008445568;310;100
1278721041694030;309;100
1278721075027415;311;100
1278721108370953;309;100
1278721141671415;309;100
1278721174995684;308;100
1278721208321684;313;100
1278721241642799;310;100
1278721275053722;311;100
1278721308288837;311;100
1278721341618145;308;100
1278721374942145;309;100
1278721408262991;310;100
1278721441584914;310;100
1278721474911568;309;100
1278721508333683;310;100
1278721541572607;309;100
1278721574891453;309;100
1278721608216837;309;100
1278721641534606;308;100
1278721674866222;309;100
1278721708189529;310;100
1278721741509837;310;100
1278721774834491;311;100
1278721808155722;308;100
1278721841479606;299;100
1278721874804722;0;0
1278721908129875;0;0
1278721941475760;314;100
1278721974779452;313;100
1278722008131183;312;100
1278722041431375;312;100
1278722074814491;314;100
1278722108073298;312;100
1278722141398568;312;100
1278722174718914;315;100
1278722208054683;314;100
1278722241382298;312;100
1278722274694606;313;100
1278722308023798;314;100
1278722341354875;311;100
1278722374674029;312;100
1278722407999567;314;100
1278722441315529;313;100
1278722474640106;313;100
1278722507962683;313;100
1278722541286990;315;100
1278722574636683;315;100
1278722607936221;312;100
1278722641259106;311;100
1278722674584721;314;100
1278722708044067;314;100
1278722741236721;312;100
1278722774575875;316;100
1278722807880029;316;100
1278722841205990;314;100
1278722874533529;315;100
1278722907859298;312;100
1278722941179106;306;100
1278722974535605;0;0
1278723007832452;0;0
1278723041160029;315;100
1278723074530182;313;100
1278723107810490;314;100
1278723141123644;313;100
1278723174484375;314;100
1278723207778605;314;100
1278723241103721;313;100
1278723274480682;311;100
1278723307748836;312;100
1278723341121913;313;100
1278723374400836;314;100
1278723407717682;313;100
1278723441039759;313;100
1278723474363297;313;100
1278723507691836;312;100
1278723541016836;314;100
1278723574342644;314;100
1278723607669682;315;100
1278723640991720;313;100
1278723674322490;311;100
1278723707649374;313;100
1278723740964259;312;100
1278723774286066;313;100
1278723807615643;314;100
1278723840938066;312;100
1278723874261182;312;100
1278723907589874;314;100
1278723940912951;314;100
1278723974235912;313;100
1278724007561643;312;100
1278724040885028;312;100
1278724074211066;0;0
1278724107538528;0;0
1278724140854874;315;100
1278724174190528;316;100
1278724207571758;316;100
1278724240824682;316;100
1278724274154412;316;100
1278724307482720;316;100
