TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135057145408036;10;100;24999000;-4;437;1;17.036.726;3.0
135057182676266;10;100;24999000;-4;437;1;17.036.726;3.0
135057212368974;10;100;24999000;-4;437;1;17.036.726;3.0
135057245806995;9;100;24999000;-4;437;1;17.036.726;3.0
135057278148141;9;100;24999000;-4;437;1;17.036.726;3.0
135057312333036;9;100;24999000;-4;437;1;17.036.726;3.0
135057344539807;8;100;24999000;-4;437;1;17.036.726;3.0
135057378299182;9;100;24999000;-4;437;1;17.036.726;3.0
135057412181474;8;100;24999000;-4;437;1;17.036.726;3.0
135057445699703;10;100;24999000;-4;437;1;17.036.726;3.0
135057478876786;9;100;24999000;-4;437;1;17.036.726;3.0
135057511664807;8;100;24999000;-4;437;1;17.036.726;3.0
135057546467411;9;100;24999000;-4;437;1;17.036.726;3.0
135057578022620;11;100;24999000;-4;437;1;17.036.726;3.0
135057611510120;9;100;24999000;-4;437;1;17.036.726;3.0
135057644474703;9;100;24999000;-4;437;1;17.036.726;3.0
135057678187203;11;100;24999000;-4;437;1;17.036.726;3.0
135057713074182;10;100;24999000;-4;437;1;17.036.726;3.0
135057746711161;8;100;24999000;-4;437;1;17.036.726;3.0
135057778233557;9;100;24999000;-4;437;1;17.036.726;3.0
135057811816891;9;100;24999000;-4;437;1;17.036.726;3.0
135057844315849;0;0;24999000;-4;437;1;17.036.726;3.0
135057878416370;0;0;24999000;-4;437;1;17.036.726;3.0
135057912201786;0;0;24999000;-4;437;1;17.036.726;3.0
135057946617411;12;100;24999000;-4;437;1;17.036.726;3.0
135057977016370;12;100;24999000;-4;437;1;17.036.726;3.0
135058011813245;11;100;24999000;-4;437;1;17.036.726;3.0
135058045000224;11;100;24999000;-4;437;1;17.036.726;3.0
135058077779911;12;100;24999000;-4;437;1;17.036.726;3.0
135058111645536;11;100;24999000;-4;437;1;17.036.726;3.0
135058144110120;11;100;24999000;-4;437;1;17.036.726;3.0
135058177764286;12;100;24999000;-4;437;1;17.036.726;3.0
135058210676786;11;100;24999000;-4;437;1;17.036.726;3.0
135058244067411;12;100;24999000;-4;437;1;17.036.726;3.0
135058277305432;13;100;24999000;-4;437;1;17.036.726;3.0
135058311697620;13;100;24999000;-4;437;1;17.036.726;3.0
135058345194495;12;100;24999000;-4;437;1;17.036.726;3.0
135058377045015;12;100;24999000;-4;437;1;17.036.726;3.0
135058410286682;13;100;24999000;-4;437;1;17.036.726;3.0
135058443664807;12;100;24999000;-4;437;1;17.036.726;3.0
135058477569495;12;100;24999000;-4;437;1;17.036.726;3.0
135058510171578;11;100;24999000;-4;437;1;17.036.726;3.0
135058544265849;11;100;24999000;-4;437;1;17.036.726;3.0
135058577806474;13;100;24999000;-4;437;1;17.036.726;3.0
135058610664807;12;100;24999000;-4;437;1;17.036.726;3.0
135058643839286;12;100;24999000;-4;437;1;17.036.726;3.0
135058676254911;12;100;24999000;-4;437;1;17.036.726;3.0
135058710801786;12;100;24999000;-4;437;1;17.036.726;3.0
135058743862724;13;100;24999000;-4;437;1;17.036.726;3.0
135058776875745;12;100;24999000;-4;437;1;17.036.726;3.0
135058810792932;13;100;24999000;-4;437;1;17.036.726;3.0
135058843960120;13;100;24999000;-4;437;1;17.036.726;3.0
135058876750745;12;100;24999000;-4;437;1;17.036.726;3.0
135058910267411;11;100;24999000;-4;437;1;17.036.726;3.0
135058943592411;0;0;24999000;-4;437;1;17.036.726;3.0
135058976419495;0;0;24999000;-4;437;1;17.036.726;3.0
135059010323661;0;0;24999000;-4;437;1;17.036.726;3.0
135059043118453;12;100;24999000;-4;437;1;17.036.726;3.0
135059078428870;11;100;24999000;-4;437;1;17.036.726;3.0
135059109874703;12;100;24999000;-4;437;1;17.036.726;3.0
135059145804911;11;100;24999000;-4;437;1;17.036.726;3.0
135059176272620;13;100;24999000;-4;437;1;17.036.726;3.0
135059210108036;11;100;24999000;-4;437;1;17.036.726;3.0
135059243946057;12;100;24999000;-4;437;1;17.036.726;3.0
