TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1269758792163640;19990000;-19;100;1;12.830.445;4.806
1269758825489790;19990000;-19;100;1;12.830.445;4.806
1269758858924950;19990000;-19;100;1;12.830.445;4.806
1269758892256410;19990000;-19;100;1;12.830.445;4.806
1269758925463870;19990000;-19;100;1;12.830.445;4.806
1269758958786830;19990000;-19;100;1;12.830.445;4.806
1269758992180330;19990000;-19;100;1;12.830.445;4.806
1269759025445560;19990000;-19;100;1;12.830.445;4.806
1269759058862290;19990000;-19;100;1;12.830.445;4.806
1269759092165750;19990000;-19;100;1;12.830.445;4.806
1269759125408180;19990000;-19;100;1;12.830.445;4.806
1269759158866020;19990000;-19;100;1;12.830.445;4.806
1269759192164140;19990000;-19;100;1;12.830.445;4.806
1269759225409410;19990000;-19;100;1;12.830.445;4.806
1269759258776870;19990000;-19;100;1;12.830.445;4.806
1269759292132600;19990000;-19;100;1;12.830.445;4.806
1269759325349020;19990000;-19;100;1;12.830.445;4.806
1269759358796790;19990000;-19;100;1;12.830.445;4.806
1269759392007140;19990000;-19;100;1;12.830.445;4.806
1269759425324950;19990000;-19;100;1;12.830.445;4.806
1269759458651220;19990000;-19;100;1;12.830.445;4.806
1269759491976060;19990000;-19;100;1;12.830.445;4.806
1269759525314290;19990000;-19;100;1;12.830.445;4.806
1269759558629750;19990000;-19;100;1;12.830.445;4.806
1269759591951060;19990000;-19;100;1;12.830.445;4.806
1269759625275220;19990000;-19;100;1;12.830.445;4.806
1269759658591520;19990000;-19;100;1;12.830.445;4.806
1269759691935480;19990000;-19;100;1;12.830.445;4.806
1269759725233220;19990000;-19;100;1;12.830.445;4.806
1269759758642910;19990000;-19;100;1;12.830.445;4.806
1269759791961950;19990000;-19;100;1;12.830.445;4.806
1269759825232370;19990000;-19;100;1;12.830.445;4.806
1269759858614640;19990000;-19;100;1;12.830.445;4.806
1269759891868520;19990000;-19;100;1;12.830.445;4.806
1269759925199560;19990000;-19;100;1;12.830.445;4.806
1269759958601720;19990000;-19;100;1;12.830.445;4.806
1269759991838410;19990000;-19;100;1;12.830.445;4.806
1269760025231140;19990000;-19;100;1;12.830.445;4.806
1269760058596520;19990000;-19;100;1;12.830.445;4.806
1269760091827450;19990000;-19;100;1;12.830.445;4.806
1269760125145950;19990000;-19;100;1;12.830.445;4.806
1269760158576290;19990000;-19;100;1;12.830.445;4.806
1269760191906180;19990000;-19;100;1;12.830.445;4.806
1269760225124210;19990000;-19;100;1;12.830.445;4.806
1269760258651370;19990000;-19;100;1;12.830.445;4.806
1269760291764290;19990000;-19;100;1;12.830.445;4.806
1269760325091480;19990000;-19;100;1;12.830.445;4.806
1269760358406450;19990000;-19;100;1;12.830.445;4.806
1269760391835520;19990000;-19;100;1;12.830.445;4.806
1269760425054560;19990000;-19;100;1;12.830.445;4.806
1269760458391680;19990000;-19;100;1;12.830.445;4.806
1269760491721520;19990000;-19;100;1;12.830.445;4.806
1269760525036020;19990000;-19;100;1;12.830.445;4.806
1269760558357020;19990000;-19;100;1;12.830.445;4.806
1269760591683370;19990000;-19;100;1;12.830.445;4.806
1269760625005290;19990000;-19;100;1;12.830.445;4.806
1269760658416480;19990000;-19;100;1;12.830.445;4.806
1269760691765910;19990000;-19;100;1;12.830.445;4.806
1269760724974480;19990000;-19;100;1;12.830.445;4.806
1269760758358370;19990000;-19;100;1;12.830.445;4.806
1269760791753790;19990000;-19;100;1;12.830.445;4.806
